company,Rating,Discount,DiscountPrice,MRP,reviews,ScreenSize,Edition,SoundOutput,Warranty
acerpure,4.2,57,29499,69990,233.625,139 cm (55 inch),2024,24 W,1 Year
Coocaa,4.2,50,39599,79990,110,164 cm (65 inch),2024,30 W,1 Year
ONIDA,4.1,39,27647,45990,70,139 cm (55 inch),2023,24 W,1 Year
Hisense,4.2,54,11439,24999,233.625,80 cm (32 inch),2024,30 W,1 Year
Acer,3.8,62,27999,73999,32,7 cm (55 inch),2025,36 W,1 Year
Blaupunkt,4.4,42,13799,23999,3,Unknown,2022,40 W,1 Year
Hisense,4.2,51,33999,69999,233.625,139 cm (55 inch),2025,48 W,Unknown
Samsung,4.3,33,37990,57000,1,125 cm (50 inch),2024,20 W,2 Year
TCL,4,61,112839.75,201562.5,6,189 cm (75 inch),2025,60 W,Unknown
Hisense,4.3,54,21199,46999,233.625,108 cm (43 inch),2023,24 W,Unknown
BESTON,3.9,52,7999,16999,12,80 cm (32 inch),2025,24 W,2 Year
Coocaa,4.2,36,37999,59999,110,164 cm (65 inch),2025,30 W,1 Year
Sansui,4.2,38,35990,58490,12,140 cm (55 inch),2025,30 W,1 Year
Acer,3.9,53,23999,51999,233.625,108 cm (43 inch),2025,30 W,1 Year
Reliance,4.5,50,29990,59990,2,140 cm (55 inch),2025,24 W,1 year
Acer,4,62,8999,23999,211,01 cm (32 inch),2024,24 W,Unknown
iFFALCON,4.2,51,47999,99990,42,164 cm (65 inch),2025,24 W,1 Year
Admiral,4.3,39,16600,27299,146,108 cm (43 inch),2024,20 W,Unknown
TOSHIBA,4.3,45,54999,99999,233.625,164 cm (65 inch),2025,24 W,Unknown
SONY,4.6,44,32990,59900,4,108 cm (43 inch),2023,20 W,1 Year
acerpure,4.1,56,21599,49990,233.625,108 cm (43 inch),2024,20 W,1 Year
MOTOROLA,4.3,57,20299,47899,220,108 cm (43 inch),2024,20 W,1 year
Blaupunkt,4.4,55,37799,84999,3,164 cm (65 inch),2022,60 W,1 Year
XIAOMI,4.3,43,20300,35999,6,108 cm (43 inch),2024,20 W,1 year
LG,4.4,42,28990,49990,2,108 cm (43 inch),2025,20 W,1-Year
Blaupunkt,4.4,54,27599,59999,3,139 cm (55 inch),2022,60 W,1 Year
ONIDA,3.8,44,13810,24990,0,80 cm (32 inch),2024,20 W,1 Year
iFFALCON,4.2,54,35999,79990,42,139 cm (55 inch),2025,24 W,1 Year
SONY,4.1,28,24890,34900,0,80 cm (32 inch),2024,20 W,Unknown
BESTON,3.8,55,35490,79999,178,1 cm (65 inch),2025,35 W,2 Year
Hisense,4.2,54,49999,109999,233.625,164 cm (65 inch),2023,24 W,Unknown
Hisense,4.2,47,46999,89999,233.625,164 cm (65 inch),2025,48 W,Unknown
Vu,4.2,46,10699,20000,233.625,80 cm (32 inch),2022,20 W,1 Year
KODAK,4.3,55,26499,59999,1,139 cm (55 inch),2022,40 W,1 Year
LG,4.4,30,47990,68990,43,108 cm (43 inch),2025,20 W,1-Year
KODAK,4.6,37,43999,69999,0,164 cm (65 inch),2025,70 W,1 Year
TCL,4.2,61,49990,128990,233.625,164 cm (65 inch),2024,35 W,Unknown
LG,4.6,44,13990,24990,4,80 cm (32 inch),2024,20 W,Unknown
Vu,4.4,44,22199,40000,3,108 cm (43 inch),2024,24 W,1 Year
TOSHIBA,4.3,57,74999,174999,233.625,189 cm (75 inch),2025,36 W,Unknown
TCL,4.2,57,91990,201562.5,19,164 cm (65 inch),2025,60 W,Unknown
SONY,4.5,55,112839.75,201562.5,12,8 cm (85 inch),2024,20 W,1 Year
SONY,4.6,32,36860,54900,3,108 cm (43 inch),2024,20 W,1 Year
SONY,4.6,23,41970,54900,13,108 cm (43 inch),2024,20 W,1 Year
Thomson,4.4,57,63608,149999,9,189 cm (75 inch),2020,30 W,1 Year
Sansui,4.2,49,19490,38499,12,109 cm (43 inch),2025,20 W,1 Year
Samsung,4.2,47,112839.75,201562.5,12,214 cm (85 inch),2025,20 W,1 Year
Haier,4.3,57,11900,27990,0,80 cm (32 inch),2023,10 W,1 Year
Vu,4.4,49,27699,55000,3,126 cm (50 inch),2024,24 W,1 Year
LG,4.4,44,39990,71990,2,139 cm (55 inch),2025,20 W,1-Year
XIAOMI,4.3,47,13049,24999,6,80 cm (32 inch),2023,20 W,1 Year
LG,3.8,32,19239,28490,0,Unknown,2025,20 W,1 YEAR
acerpure,4.1,61,41999,109990,233.625,164 cm (65 inch),2024,24 W,1 Year
Thomson,4.3,54,22999,49999,5,126 cm (50 inch),2022,40 W,1 Year
Reliance,4,54,9788,21490,35,81 cm (32 inch),2023,24 W,1 Year
Haier,4.2,44,25322,45990,12,109 cm (43 inch),2021,20 W,Unknown
TCL,3.8,41,13490,22990,4,97 cm (32 inch),2025,24 W,1 Year
Bush,4.2,54,25589,55990,12,138 cm (55 inch),2025,24 W,1 Year
Reliance,4,60,11490,28990,35,80 cm (32 inch),2025,24 W,1 Year
Reliance,4,60,11990,29990,35,80 cm (32 inch),2025,24 W,1 Year
Reliance,4,51,10420,21490,11,81 cm (32 inch),2024,24 W,1 year
TOSHIBA,4.1,57,112839.75,201562.5,233.625,215 cm (85 inch),2024,36 W,Unknown
TCL,4,69,112839.75,201562.5,2,31 cm (75 inch),2025,20 W,Unknown
TCL,4.2,63,112839.75,201562.5,19,189 cm (75 inch),2025,60 W,Unknown
TCL,4.2,51,23037,47990,2,108 cm (43 inch),2024,24 W,1 Year
Hisense,4.3,55,30999,69999,233.625,139 cm (55 inch),2023,24 W,Unknown
Panasonic,4.1,30,14490,20990,134,80 cm (32 inch),2023,20 W,1 Year
TOSHIBA,4.1,39,48999,80999,233.625,165 cm (65 inch),2025,24 W,Unknown
Coocaa,4.2,57,42399,99999,110,164 cm (65 inch),2022,30 W,1 Year
TOSHIBA,4.1,48,45999,89999,233.625,164 cm (65 inch),2024,24 W,1 Year
realme,4.2,58,9999,23999,233.625,80 cm (32 inch),2025,40 W,Unknown
Samsung,4.6,17,14750,17900,2,80 cm (32 inch),2025,20 W,2 Year
LG,4.2,30,39199,56190,12,108 cm (43 inch),2025,20 W,1 Year
acerpure,4.2,62,18899,49990,233.625,108 cm (43 inch),2024,20 W,1 Year
MarQ,4.1,56,6599,14999,233.625,60 cm (24 inch),2021,20 W,Unknown
Reliance,4,53,9990,21490,0,81 cm (32 inch),2025,24 W,1 Year
Haier,4.2,31,62990,91990,48,164 cm (65 inch),2025,30 W,1 year
SONY,4.6,31,49770,72900,118,7 cm (50 inch),2024,20 W,1 Year
